User ID;Month;Macro Reason;Micro Reason;Financial Value (BRL);Cost Center
369636C7;October;payments;Campaign;32,62;OPS Driver
B1BF3D72;July;onboarding;App Download;4,98;OPS Driver
19E3E9F9;July;general questions;Referral Program;5,03;OPS Driver
1D66A980;November;payments;Optimizer miscalculation;5,75;Product UX/UI
2FB3637D;September;onboarding;ID Verification;0,9;OPS Driver
74BD790C;July;feedbacks;Suggestion;5,15;OPS Driver
E64F488F;July;general questions;App Navigation;1,56;OPS Driver
FA2A4137;October;general questions;Terms of Service;4,64;OPS Driver
7D5594E3;July;others;Miscellaneous;1,36;OPS Driver
19F4645D;October;onboarding;First Ride Guide;1,63;OPS Driver
6B5C5C36;August;general questions;Terms of Service;8,65;OPS Driver
5EA0CB83;December;payments;Campaign;77,51;OPS Driver
55B2546E;December;payments;Campaign;21,76;OPS Driver
A22D80C8;October;payments;Not Validated PIN;41,68;Product UX/UI
2ECD30FB;July;others;Miscellaneous;8,55;OPS Driver
A41E112B;July;onboarding;ID Verification;0,55;OPS Driver
A0C9ABE7;August;general questions;App Navigation;4,63;OPS Driver
4C074995;November;payments;Bugs;44,45;Product UX/UI
1E6C294D;November;payments;Optimizer miscalculation;54,21;Product UX/UI
3B6A54B3;August;others;Miscellaneous;9,56;OPS Driver
2345480F;August;onboarding;App Download;8,73;OPS Driver
6250DC5B;December;general questions;Referral Program;9,59;OPS Driver
8738D37C;December;general questions;App Navigation;5,07;OPS Driver
F8B1050B;December;card;Expired Card;5,45;OPS Driver
1297A866;October;onboarding;App Download;8,45;OPS Driver
9A2F0BCB;December;payments;Campaign;118,52;OPS Driver
F473DA34;November;payments;Campaign;74,63;OPS Driver
892527D5;October;payments;Optimizer miscalculation;27,31;Product UX/UI
056A93C7;September;incentives;Bonus Eligibility;9,09;OPS Driver
BCBFC9B2;September;others;Miscellaneous;8,16;OPS Driver
6D0D7D39;December;feedbacks;Driver Compliment;2,09;OPS Driver
0C9E86D6;October;onboarding;App Download;5,26;OPS Driver
